raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
18,2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
19,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
